county_id,race_code,party_cd,precinct_abbrv,precinct_desc
1,W,UNA,08N,NORTH NEWLIN
1,W,UNA,10N,NORTH MELVILLE
1,W,REP,103,MELVILLE 3
1,W,UNA,03S,SOUTH BOONE
1,W,UNA,124,BURLINGTON 4
1,W,DEM,08N,NORTH NEWLIN
1,B,DEM,03S,SOUTH BOONE
1,W,UNA,03S,SOUTH BOONE
1,W,UNA,124,BURLINGTON 4
1,W,UNA,124,BURLINGTON 4
1,W,REP,124,BURLINGTON 4
1,W,REP,13,HAW RIVER
1,W,REP,13,HAW RIVER
1,U,UNA,06N,NORTH GRAHAM
1,W,REP,06N,NORTH GRAHAM
1,W,UNA,06N,NORTH GRAHAM
1,W,REP,06N,NORTH GRAHAM
1,U,REP,09N,NORTH THOMPSON
1,U,REP,08N,NORTH NEWLIN
1,W,UNA,10S1,SOUTH MELVILLE
1,W,UNA,10S1,SOUTH MELVILLE
1,W,DEM,03C,CENTRAL BOONE
1,A,DEM,03S,SOUTH BOONE
1,W,UNA,03N,NORTH BOONE
1,W,UNA,03W,WEST BOONE
1,W,UNA,03W,WEST BOONE
1,O,UNA,03W,WEST BOONE
1,W,REP,7,ALBRIGHT
1,W,REP,7,ALBRIGHT
1,W,REP,7,ALBRIGHT
1,W,DEM,35,BOONE 5
1,W,UNA,UNVERIFIED,UNVERIFIED
1,W,UNA,10N,NORTH MELVILLE
1,W,REP,126,BURLINGTON 6
1,W,UNA,104,MELVILLE 4
1,W,UNA,UNVERIFIED,UNVERIFIED
1,W,DEM,127,BURLINGTON 7
